"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Points:0","Points:1","Points:2"
362.68,3387.3,-1.5415,0,1.4289e+08,2.9339e+06,538.03,0.082884,-13.023,4.9993,0
362.68,3380,-0.88806,0,1.4289e+08,2.9339e+06,538.03,0.082706,-12.738,4.9993,0
362.67,3373.9,-0.69845,0,1.4289e+08,2.9338e+06,538.03,0.082559,-12.452,4.9993,0
362.65,3365.2,-1.7597,0,1.4288e+08,2.9335e+06,538.03,0.082371,-12.166,4.9993,0
362.63,3512.6,-0.14371,0,1.4287e+08,2.9332e+06,538.03,0.085998,-13.595,0,0
362.62,3518.8,-1.4523,0,1.4287e+08,2.9332e+06,538.02,0.086156,-13.309,0,0
362.62,3527.9,-1.1691,0,1.4287e+08,2.9331e+06,538.02,0.086384,-13.023,0,0
362.61,3537.4,-0.86671,0,1.4287e+08,2.933e+06,538.02,0.086622,-12.738,0,0
362.6,3548.1,-1.0998,0,1.4286e+08,2.933e+06,538.02,0.086888,-12.452,0,0
362.6,3561.2,-1.9237,0,1.4286e+08,2.9328e+06,538.02,0.087217,-12.166,0,0
362.53,3612.2,-28.866,0,1.4284e+08,2.932e+06,538.02,0.088533,-11.496,0.30445,0
362.55,3587.9,-19.735,0,1.4284e+08,2.9323e+06,538.02,0.087916,-11.788,0.28933,0
362.55,3596.2,-42.232,0,1.4284e+08,2.9322e+06,538.02,0.088129,-11.69,0.55792,0
362.61,3523,-7.951,0,1.4286e+08,2.933e+06,538.02,0.086271,-13.087,0.2571,0
362.6,3532.4,-7.5642,0,1.4286e+08,2.9329e+06,538.02,0.086509,-12.809,0.22042,0
362.66,3659.4,-1093.4,0,1.4289e+08,2.9338e+06,538.03,0.093467,-8.6568,3.4053,0
362.72,3595.2,-1004.6,0,1.4291e+08,2.9345e+06,538.04,0.091297,-8.8938,3.5418,0
362.73,3632.9,-1160.8,0,1.4292e+08,2.9346e+06,538.04,0.093261,-8.6187,3.6045,0
362.69,3381.5,-7.3231,0,1.429e+08,2.934e+06,538.03,0.082734,-12.81,4.7233,0
362.68,3389,-8.4957,0,1.4289e+08,2.934e+06,538.03,0.08292,-13.067,4.6891,0
25.536,5704.8,225.03,0,9.737e+06,5.3424e+05,478.98,1.6462,10.581,2.8517,0
25.53,5711.6,206.6,0,9.7362e+06,5.3412e+05,478.98,1.6483,10.784,3.0101,0
26.015,5773.4,285.06,0,9.9218e+06,5.4306e+05,479.27,1.6403,10.342,2.941,0
362.73,3677.9,-1317,0,1.4292e+08,2.9346e+06,538.04,0.095531,-8.3651,3.6478,0
362.67,3761.3,-1414.1,0,1.4289e+08,2.9338e+06,538.03,0.098335,-8.138,3.4743,0
362.66,3710.4,-1235.2,0,1.4289e+08,2.9338e+06,538.03,0.095701,-8.4107,3.407,0
29.151,6142.2,833.94,0,1.1125e+07,5.9959e+05,481.03,1.5968,8.2438,2.632,0
28.243,6032.6,719.22,0,1.0775e+07,5.8341e+05,480.54,1.6073,8.5516,2.5659,0
