"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5914, 5.699936015740645e-01, 8.960938913003137e-01, 2.095000001803678e+02, 1.033382631557723e+04, 4.261913558519089e-06, 1.207072070480556e+08, 8.202730001501469e+05, 6.514396178688311e+02, 1.699999992579961e+00, 5.891258245523854e-10
5915, 8.960963482489684e-01, 5.699901141515955e-01, 2.048692119241030e+02, 1.017527452172855e+04, -1.050694117565186e+02, 1.180245602728228e+08, 8.167499446339547e+05, 6.509780998789095e+02, 1.896350867940837e+00, -1.382328225381628e-02
5916, 4.818999521416301e-01, 2.558428745373197e-01, 1.156326739568185e+02, 6.621138337454990e+03, -1.847978830382137e+03, 6.633993520811201e+07, 7.379656132208901e+05, 6.407339357978549e+02, 1.236026927204808e+00, -3.229464543723052e-01
5917, 4.723112981117506e-01, 2.585814770198451e-01, 1.178649455748746e+02, 6.704923407581325e+03, -1.793634985687652e+03, 6.761629534508088e+07, 7.426239455093662e+05, 6.409057913634081e+02, 1.258235940707022e+00, -3.046687279771182e-01
5918, 5.599945986735053e-01, 8.960953538685397e-01, 2.095000001472897e+02, 1.033382631462550e+04, 3.542025016639997e-06, 1.207072070289319e+08, 8.202730001232815e+05, 6.514396178657076e+02, 1.699999993925327e+00, 4.837150597048774e-10
5919, 8.960987045098516e-01, 5.599903958222235e-01, 2.042301787941838e+02, 1.015199608332590e+04, -1.189821391825012e+02, 1.176543238551972e+08, 8.163185147820567e+05, 6.509141925724437e+02, 1.924808425652194e+00, -1.551606763351428e-02
5920, 4.914887921146619e-01, 2.531043413544672e-01, 1.148443366701126e+02, 6.592422577758540e+03, -1.868463371881050e+03, 6.588659307378351e+07, 7.361877383594530e+05, 6.406474969276168e+02, 1.229044077339729e+00, -3.299222363195516e-01
5921, 4.627223449361892e-01, 2.613200385591772e-01, 1.232512303610039e+02, 6.910021610859455e+03, -1.666785898878524e+03, 7.069414345384999e+07, 7.527102203313217e+05, 6.412990469067453e+02, 1.321169179675152e+00, -2.650935838856537e-01
5922, 5.499957401367498e-01, 8.960965978593749e-01, 2.095000001086963e+02, 1.033382631353050e+04, 2.687702286552023e-06, 1.207072070066371e+08, 8.202730000924738e+05, 6.514396178621521e+02, 1.699999995493336e+00, 3.628360831991267e-10
5923, 8.961010281589654e-01, 5.499910191220577e-01, 2.035624240948866e+02, 1.012730048061630e+04, -1.333768197717403e+02, 1.172674438833568e+08, 8.158808555595702e+05, 6.508473972452437e+02, 1.954831498137441e+00, -1.723329496457571e-02
5924, 4.531310314733329e-01, 2.640578071877839e-01, 1.342230001779888e+02, 7.330907521263504e+03, -1.414687929534804e+03, 7.699834761916827e+07, 7.697036546247357e+05, 6.423813283716955e+02, 1.490837129141759e+00, -1.984170732172374e-01
