,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
454,133.17,39876000.0,1.297,7450.8,-1695.9,0,728040.0,-0.40827,647.01,1,0.454,0.454,0.3,0,0.03908305792430733,0.46685597717020233,507.6149043123545
455,132.2,39585000.0,1.2932,7421.7,-1717.8,0,726180.0,-0.41653,646.93,1,0.455,0.455,0.3,0,0.047604055588312044,0.469059531568372,507.6149043123545
456,131.24,39294000.0,1.2895,7392.6,-1739.8,0,724310.0,-0.42478,646.85,1,0.456,0.456,0.3,0,0.056037004811611,0.47125646747846106,507.6149043123545
457,130.28,39003000.0,1.2858,7363.5,-1761.8,0,722450.0,-0.43303,646.77,1,0.457,0.457,0.3,0,0.0642403255911812,0.4734149341548761,507.6149043123545
458,129.56,38788000.0,1.2833,7341.8,-1778.0,0,721000.0,-0.43944,646.71,1,0.458,0.458,0.3,0,0.07067305501396504,0.4751078458780543,507.6149043123545
459,128.94,38599000.0,1.2812,7322.7,-1792.3,0,719690.0,-0.44523,646.66,1,0.459,0.459,0.3,0,0.07665122574513761,0.4766697889611258,507.6149043123545
460,128.33,38415000.0,1.2792,7304.1,-1806.2,0,718410.0,-0.45089,646.6,1,0.46,0.46,0.3,0,0.08175901738187319,0.4780706219945745,507.6149043123545
461,127.72,38232000.0,1.2772,7285.6,-1820.0,0,717140.0,-0.45652,646.55,1,0.461,0.461,0.3,0,0.08731571215913869,0.47954943762768576,507.6149043123545
462,127.12,38050000.0,1.2752,7267.1,-1833.8,0,715870.0,-0.46214,646.5,1,0.462,0.462,0.3,0,0.09279689976369088,0.48101852075062146,507.6149043123545
463,126.47,37855000.0,1.2731,7247.5,-1848.5,0,714530.0,-0.46808,646.45,1,0.463,0.463,0.3,0,0.09865156229616989,0.48258566750007004,507.6149043123545
464,125.91,37686000.0,1.2712,7230.4,-1861.3,0,713350.0,-0.47329,646.4,1,0.464,0.464,0.3,0,0.10341320847175983,0.48389804764210265,507.6149043123545
465,125.54,37572000.0,1.2701,7218.9,-1869.9,0,712530.0,-0.47695,646.37,1,0.465,0.465,0.3,0,0.10694322858445415,0.48485218082692183,507.6149043123545
466,125.16,37459000.0,1.269,7207.3,-1878.4,0,711700.0,-0.4806,646.33,1,0.466,0.466,0.3,0,0.10997575186222042,0.4857205479508129,507.6149043123545
